<0, 0.60, 1000, lfu, 20, uniform>
<1041687539, 0.90, 1000, lfu, 20, uniform>
<2671551710, 0.91, 1000, lfu, 20, uniform>
<731914191, 1.04, 1000, lfu, 20, uniform>
<164380031, 1.02, 1000, lfu, 20, uniform>
<0, 0.29, 1000, lfu, 50, uniform>
<728687199, 1.62, 1000, lfu, 50, uniform>
<526113491, 1.62, 1000, lfu, 50, uniform>
<65705894, 3.92, 1000, lfu, 50, uniform>
<36285943, 64.83, 1000, lfu, 50, uniform>
<0, 0.60, 1000, lfu, 200, uniform>
<1914570719, 0.89, 1000, lfu, 200, uniform>
<933075571, 0.88, 1000, lfu, 200, uniform>
<1787787719, 1.03, 1000, lfu, 200, uniform>
<149198150, 1.04, 1000, lfu, 200, uniform>
<0, 3.38, 1000, lifo, 10, uniform>
<1554397487, 31.37, 1000, lifo, 10, uniform>
<580672447, 38.83, 1000, lifo, 10, uniform>
<398919207, 45.41, 1000, lifo, 10, uniform>
<0, 32.15, 1000, lifo, 20, uniform>
<754520414, 33.13, 1000, lifo, 20, uniform>
<255828449, 34.21, 1000, lifo, 20, uniform>
<68047087, 34.19, 1000, lifo, 20, uniform>
<6950199, 255.14, 1000, lifo, 20, uniform>
<0, 0.49, 1000, lifo, 50, uniform>
<1382204741, 0.90, 1000, lifo, 50, uniform>
<70163615, 1.03, 1000, lifo, 50, uniform>
<135009731, 1.04, 1000, lifo, 50, uniform>
<53057471, 1.05, 1000, lifo, 50, uniform>
<0, 0.44, 1000, lifo, 100, uniform>
<1043492855, 2.32, 1000, lifo, 100, uniform>
<213616891, 2.45, 1000, lifo, 100, uniform>
<308404975, 2.46, 1000, lifo, 100, uniform>
<0, 5.87, 1000, lifo, 200, uniform>
<278747599, 14.96, 1000, lifo, 200, uniform>
<685382027, 15.26, 1000, lifo, 200, uniform>
<234287403, 15.35, 1000, lifo, 200, uniform>
